model,component_count,components
grafana-agent,1,"PodLogs"
grafana-agent,1,"PodLogs"
loki-simple-scalable,9,"PrometheusRule,ServiceMonitor,PodMonitor,Probe,GrafanaAgent,Integration,LogsInstance,MetricsInstance,PodLogs"
loki-simple-scalable,9,"PrometheusRule,ServiceMonitor,PodMonitor,Probe,GrafanaAgent,Integration,LogsInstance,MetricsInstance,PodLogs"
kube-prometheus-stack,6,"AlertmanagerConfig,Alertmanager,PrometheusAgent,Prometheus,ScrapeConfig,ThanosRuler"
kube-prometheus-stack,6,"AlertmanagerConfig,Alertmanager,PrometheusAgent,Prometheus,ScrapeConfig,ThanosRuler"
knative-serving,12,"Certificate,Configuration,ClusterDomainClaim,DomainMapping,Ingress,Metric,PodAutoscaler,Revision,Route,ServerlessService,Service,Image"
knative-serving,12,"Certificate,Configuration,ClusterDomainClaim,DomainMapping,Ingress,Metric,PodAutoscaler,Revision,Route,ServerlessService,Service,Image"
stash-grafana-dashboards,1,"GrafanaDashboard"
stash-grafana-dashboards,1,"GrafanaDashboard"
stash-opscenter,1,"MetricsConfiguration"
stash-opscenter,1,"MetricsConfiguration"
pastey,15,"ClusterIssuer,Challenge,CertificateRequest,Issuer,Certificate,Order,IngressRoute,IngressRouteTCP,IngressRouteUDP,Middleware,MiddlewareTCP,ServersTransport,TLSOption,TLSStore,TraefikService"
pastey,15,"ClusterIssuer,Challenge,CertificateRequest,Issuer,Certificate,Order,IngressRoute,IngressRouteTCP,IngressRouteUDP,Middleware,MiddlewareTCP,ServersTransport,TLSOption,TLSStore,TraefikService"
rapidphotodownloader,20,"Backup,Cluster,Pooler,ScheduledBackup,IngressRoute,IngressRouteTCP,IngressRouteUDP,AddressPool,BFDProfile,BGPAdvertisement,BGPPeer,IPAddressPool,L2Advertisement,Community,Middleware,MiddlewareTCP,ServersTransport,TLSOption,TLSStore,TraefikService"
rapidphotodownloader,20,"Backup,Cluster,Pooler,ScheduledBackup,IngressRoute,IngressRouteTCP,IngressRouteUDP,AddressPool,BFDProfile,BGPAdvertisement,BGPPeer,IPAddressPool,L2Advertisement,Community,Middleware,MiddlewareTCP,ServersTransport,TLSOption,TLSStore,TraefikService"
supervisor,4,"ApprovalPolicy,ClusterMaintenanceWindow,MaintenanceWindow,Recommendation"
supervisor,4,"ApprovalPolicy,ClusterMaintenanceWindow,MaintenanceWindow,Recommendation"
cockroachdb-operator,1,"CrdbCluster"
cockroachdb-operator,1,"CrdbCluster"
keycloak-operator,2,"KeycloakRealmImport,Keycloak"
keycloak-operator,2,"KeycloakRealmImport,Keycloak"
admin-console-operator,1,"AdminConsole"
admin-console-operator,1,"AdminConsole"
lightrun-k8s-operator,1,"LightrunJavaAgent"
lightrun-k8s-operator,1,"LightrunJavaAgent"
sops-secrets-operator,1,"SopsSecret"
sops-secrets-operator,1,"SopsSecret"
echoperator,2,"Echo,ScheduledEcho"
echoperator,2,"Echo,ScheduledEcho"
scribe,2,"ReplicationDestination,ReplicationSource"
scribe,2,"ReplicationDestination,ReplicationSource"
postgres-operator,3,"OperatorConfiguration,postgresql,PostgresTeam"
postgres-operator,3,"OperatorConfiguration,postgresql,PostgresTeam"
bundle-controller,1,"Bundle"
bundle-controller,1,"Bundle"
argo-workflows,11,"ClusterWorkflowTemplate,CronWorkflow,EventBus,EventSource,Sensor,WorkflowArtifactGCTask,WorkflowEventBinding,Workflow,WorkflowTaskResult,WorkflowTaskSet,WorkflowTemplate"
argo-workflows,11,"ClusterWorkflowTemplate,CronWorkflow,EventBus,EventSource,Sensor,WorkflowArtifactGCTask,WorkflowEventBinding,Workflow,WorkflowTaskResult,WorkflowTaskSet,WorkflowTemplate"
grafana-operator,4,"GrafanaDashboard,GrafanaDatasource,GrafanaFolder,Grafana"
grafana-operator,4,"GrafanaDashboard,GrafanaDatasource,GrafanaFolder,Grafana"
sumologic,2,"OpenTelemetryCollector,Instrumentation"
sumologic,2,"OpenTelemetryCollector,Instrumentation"
kong,7,"IngressClassParameters,KongClusterPlugin,KongConsumer,KongIngress,KongPlugin,TCPIngress,UDPIngress"
kong,7,"IngressClassParameters,KongClusterPlugin,KongConsumer,KongIngress,KongPlugin,TCPIngress,UDPIngress"
lagoon-gatekeeper,4,"Config,ConstraintPodStatus,ConstraintTemplate,ConstraintTemplatePodStatus"
lagoon-gatekeeper,4,"Config,ConstraintPodStatus,ConstraintTemplate,ConstraintTemplatePodStatus"
resurface,3,"Backend,Defaults,Global"
resurface,3,"Backend,Defaults,Global"
goldilocks,2,"VerticalPodAutoscaler,VerticalPodAutoscalerCheckpoint"
goldilocks,2,"VerticalPodAutoscaler,VerticalPodAutoscalerCheckpoint"
epinio,3,"App,AppChart,Service"
epinio,3,"App,AppChart,Service"
sealed-secrets,1,"SealedSecret"
sealed-secrets,1,"SealedSecret"
flex-gateway,5,"ApiInstance,Configuration,Extension,PolicyBinding,Service"
flex-gateway,5,"ApiInstance,Configuration,Extension,PolicyBinding,Service"
vela-workflow,3,"WorkflowRun,Workflow,WorkflowStepDefinition"
vela-workflow,3,"WorkflowRun,Workflow,WorkflowStepDefinition"
terraform,1,"Workspace"
terraform,1,"Workspace"
multus,1,"NetworkAttachmentDefinition"
multus,1,"NetworkAttachmentDefinition"
lagoon-remote,9,"HostMigration,LagoonBuild,LagoonTask,MariaDBProvider,MariaDBConsumer,MongoDBConsumer,MongoDBProvider,PostgreSQLConsumer,PostgreSQLProvider"
lagoon-remote,9,"HostMigration,LagoonBuild,LagoonTask,MariaDBProvider,MariaDBConsumer,MongoDBConsumer,MongoDBProvider,PostgreSQLConsumer,PostgreSQLProvider"
ndb-operator,2,"Database,NDBServer"
ndb-operator,2,"Database,NDBServer"
kubedb-opscenter,13,"Elasticsearch,Etcd,Kafka,MariaDB,Memcached,MongoDB,MySQL,PerconaXtraDB,PgBouncer,Postgres,ProxySQL,Redis,RedisSentinel"
kubedb-opscenter,13,"Elasticsearch,Etcd,Kafka,MariaDB,Memcached,MongoDB,MySQL,PerconaXtraDB,PgBouncer,Postgres,ProxySQL,Redis,RedisSentinel"
edp-argocd-operator,1,"ArgoApplication"
edp-argocd-operator,1,"ArgoApplication"
stack,5,"Wordpress,MysqlBackup,MysqlCluster,MysqlDatabase,MysqlUser"
stack,5,"Wordpress,MysqlBackup,MysqlCluster,MysqlDatabase,MysqlUser"
velero-s3-deployment,11,"Backup,BackupStorageLocation,DeleteBackupRequest,DownloadRequest,PodVolumeBackup,PodVolumeRestore,ResticRepository,Restore,Schedule,ServerStatusRequest,VolumeSnapshotLocation"
velero-s3-deployment,11,"Backup,BackupStorageLocation,DeleteBackupRequest,DownloadRequest,PodVolumeBackup,PodVolumeRestore,ResticRepository,Restore,Schedule,ServerStatusRequest,VolumeSnapshotLocation"
kuma,41,"MeshTrace,HealthCheck,Dataplane,MeshInsight,MeshGateway,MeshHTTPRoute,MeshRetry,Mesh,Retry,ZoneEgress,MeshGatewayInstance,MeshTimeout,MeshProxyPatch,ContainerPatch,MeshLoadBalancingStrategy,MeshCircuitBreaker,TrafficLog,CircuitBreaker,Timeout,ZoneIngressInsight,ServiceInsight,FaultInjection,RateLimit,TrafficRoute,ZoneEgressInsight,MeshHealthCheck,VirtualOutbound,MeshRateLimit,Zone,MeshAccessLog,TrafficPermission,ProxyTemplate,ZoneInsight,MeshTrafficPermission,ZoneIngress,DataplaneInsight,MeshTCPRoute,ExternalService,TrafficTrace,MeshGatewayRoute,MeshFaultInjection"
kuma,41,"MeshTrace,HealthCheck,Dataplane,MeshInsight,MeshGateway,MeshHTTPRoute,MeshRetry,Mesh,Retry,ZoneEgress,MeshGatewayInstance,MeshTimeout,MeshProxyPatch,ContainerPatch,MeshLoadBalancingStrategy,MeshCircuitBreaker,TrafficLog,CircuitBreaker,Timeout,ZoneIngressInsight,ServiceInsight,FaultInjection,RateLimit,TrafficRoute,ZoneEgressInsight,MeshHealthCheck,VirtualOutbound,MeshRateLimit,Zone,MeshAccessLog,TrafficPermission,ProxyTemplate,ZoneInsight,MeshTrafficPermission,ZoneIngress,DataplaneInsight,MeshTCPRoute,ExternalService,TrafficTrace,MeshGatewayRoute,MeshFaultInjection"
metacontroller,3,"CompositeController,ControllerRevision,DecoratorController"
metacontroller,3,"CompositeController,ControllerRevision,DecoratorController"
nexus-operator,3,"Nexus,NexusRole,NexusUser"
nexus-operator,3,"Nexus,NexusRole,NexusUser"
cert-manager-csi-driver-cacerts,1,"CAProviderClass"
cert-manager-csi-driver-cacerts,1,"CAProviderClass"
katib,3,"Experiment,Suggestion,Trial"
katib,3,"Experiment,Suggestion,Trial"
permission-manager,1,"Permissionmanageruser"
permission-manager,1,"Permissionmanageruser"
